strategy_name,total_return_pct,win_rate,total_pnl,max_drawdown_pct,sharpe_ratio,total_trades
3. LVN Accel,7.280797728202959,61.702127659574465,728.0797728202961,-5.47719962308798,0.10166483076544845,47
6. Vol Diverg,1.640746105265345,44.680851063829785,164.07461052653343,-5.506513704370273,0.03705024791188422,47
1. POC Target,-0.6264713269087396,48.93617021276596,-62.64713269087406,-8.605756715877758,-0.007207797531297521,47
4. Multi-Tier,-1.1551757279997799,59.57446808510638,-115.51757279997764,-6.029614609990331,-0.015682055552697576,47
5. Trail Stop,-3.1404801568922225,38.297872340425535,-314.04801568922267,-6.4768351017079615,-0.052580698433548255,47
2. VAH Exit,-6.868302942724879,34.04255319148936,-686.8302942724877,-10.329087984594612,-0.1052858518733239,47
